1,1992,Summer,Barcelona
2,2012,Summer,London
3,1920,Summer,Antwerpen
4,1900,Summer,Paris
5,1988,Winter,Calgary
9,1994,Winter,Lillehammer
27,1932,Summer,Los Angeles
29,2002,Winter,Salt Lake City
30,1952,Summer,Helsinki
31,1980,Winter,Lake Placid
32,2000,Summer,Sydney
33,1996,Summer,Atlanta
36,1912,Summer,Stockholm
40,1924,Summer,Paris
41,2014,Winter,Sochi
42,1948,Summer,London
69,1998,Winter,Nagano
78,2006,Winter,Torino
80,2008,Summer,Beijing
81,2016,Summer,Rio de Janeiro
83,2004,Summer,Athina
84,1960,Winter,Squaw Valley
86,1964,Winter,Innsbruck
88,1984,Winter,Sarajevo
90,1968,Summer,Mexico City
91,1972,Summer,Munich
95,1936,Summer,Berlin
112,1956,Winter,Cortina d'Ampezzo
134,1928,Summer,Amsterdam
146,1976,Summer,Montreal
246,2010,Winter,Vancouver
269,1906,Summer,Athina
712,1904,Summer,St. Louis
1150,1908,Summer,London
3080,1896,Summer,Athina
